agent_id,case_group,case_subgroup,instruction,associated_url,allow_url_reading,active,horas_cache_pagina,response_mode
c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Sede - Inicio / catálogo por temas,Puedes acceder a la sede electrónica de Alguazas (inicio y catálogo por temas) en este enlace: https://sede.alguazas.regiondemurcia.es/cargaMenuWeb.do?entidad=30007&idioma=1,https://sede.alguazas.regiondemurcia.es/cargaMenuWeb.do?entidad=30007&idioma=1,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Sede - Expedientes,Puedes consultar tus expedientes en la sede electrónica en este enlace: https://sede.alguazas.regiondemurcia.es/web/consultaExpedientes.do?opcion=0,https://sede.alguazas.regiondemurcia.es/web/consultaExpedientes.do?opcion=0,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Sede - Comunicaciones,Puedes ver tus comunicaciones en la sede electrónica en este enlace: https://sede.alguazas.regiondemurcia.es/web/bandejaTareasP.do?opcion=0&tipoBandeja=C&modo=0,https://sede.alguazas.regiondemurcia.es/web/bandejaTareasP.do?opcion=0&tipoBandeja=C&modo=0,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Sede - Notificaciones,Puedes ver tus notificaciones en la sede electrónica en este enlace: https://sede.alguazas.regiondemurcia.es/web/bandejaTareasP.do?opcion=0&tipoBandeja=N&modo=0,https://sede.alguazas.regiondemurcia.es/web/bandejaTareasP.do?opcion=0&tipoBandeja=N&modo=0,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Sede - Firmas,Puedes firmar documentos en la sede electrónica en este enlace: https://sede.alguazas.regiondemurcia.es/web/bandejaFirmas.do?opcion=0&modo=0,https://sede.alguazas.regiondemurcia.es/web/bandejaFirmas.do?opcion=0&modo=0,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Información y atención ciudadana - Cita previa,Puedes pedir cita previa en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=9&tipoVentana=&entidad=30007&idioma=1,https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=9&tipoVentana=&entidad=30007&idioma=1,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Información y atención ciudadana - Acceso a información,Puedes solicitar acceso a información pública en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=10&tipoVentana=&entidad=30007&idioma=1,https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=10&tipoVentana=&entidad=30007&idioma=1,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Información y atención ciudadana - Solicitud general y aportación de documentos,Puedes presentar una solicitud general o aportar documentos en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=11&tipoVentana=&entidad=30007&idioma=1,https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=11&tipoVentana=&entidad=30007&idioma=1,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Información y atención ciudadana - Quejas y sugerencias,Puedes presentar una queja o sugerencia en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=12&tipoVentana=&entidad=30007&idioma=1,https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=12&tipoVentana=&entidad=30007&idioma=1,False,True,,directo
c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Información y atención ciudadana - Denuncias y reclamaciones,Puedes presentar una denuncia o reclamación en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=13&tipoVentana=&entidad=30007&idioma=1,https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=13&tipoVentana=&entidad=30007&idioma=1,False,True,,directo
