id,agent_id,case_group,instruction,associated_url,allow_url_reading,active,created_at,case_subgroup,embedding,horas_cache_pagina,response_mode
021cec4f-1768-4ba5-aae1-97794168a095,c1330a20-c057-4764-8121-6268ca02f280,Hacienda,Trámite o recurso municipal: Pago de tributos. Consulta la información actualizada en: https://alguazas.tributoslocales.es/300070/AALGUAZAS Extrae solo lo necesario para responder al ciudadano con tono cercano. Termina con una coletilla que incluya este enlace: https://alguazas.tributoslocales.es/300070/AALGUAZAS,https://alguazas.tributoslocales.es/300070/AALGUAZAS,true,true,2026-09-19 19:15:23.471656+00,TRÁMITE · Pago de tributos,,,ia
0242dba7-ff2d-4942-b9bd-1e30374161e4,c1330a20-c057-4764-8121-6268ca02f280,Educación,"Toda la información sobre salas y aulas de estudio, y el formulario de solicitud de uso de aula de estudio, está en https://alguazas.es/salas-de-estudio/. Si preguntan por horarios, ubicación o normas generales, accede y consulta el contenido de esa página para responder. Si preguntan por el formulario o la solicitud de uso: localiza en esa misma página el enlace exacto de descarga del documento (cópialo carácter a carácter; no lo inventes ni lo construyas de memoria). Si no tienes el enlace exacto verificado, usa la página general. Tono cercano. Termina citando el enlace de la página o el de descarga exacto si lo tienes.",https://alguazas.es/salas-de-estudio/,true,true,2026-09-19 19:15:23.471656+00,TRÁMITE · Salas y aulas de estudio (información y formulario),,,ia
030ecdfb-18cc-4a25-89f0-2e3dbdbe8453,c1330a20-c057-4764-8121-6268ca02f280,Normativa,En este enlace tienes toda la información sobre normativa: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANg==/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANg==/30007,false,false,2026-09-21 12:02:52.324165+00,General (carpeta principal),,,directo
03df44c4-52fc-422d-b2f6-422414cde92a,c1330a20-c057-4764-8121-6268ca02f280,Urbanismo,"Documento oficial del Ayuntamiento de Alguazas: ORDENANZA FISCAL REGULADORA DE LA TASA POR PRESTACION DE SERVICIOS URBANISTICAS DE PLANEAMIENTO Y GESTION. Descárgalo y léelo desde este enlace exacto (cópialo tal cual, no inventes otra URL): https://alguazas.es/wp-content/uploads/2020/12/20200514_PRESTACION-SERVICIOS-URBANISTICOS.pdf Responde con datos literales del documento (importes, plazos, artículos). Si no queda claro, dilo. Tono cercano. Termina citando el enlace: https://alguazas.es/wp-content/uploads/2020/12/20200514_PRESTACION-SERVICIOS-URBANISTICOS.pdf",https://alguazas.es/wp-content/uploads/2020/12/20200514_PRESTACION-SERVICIOS-URBANISTICOS.pdf,true,true,2026-09-19 19:15:47.091626+00,NORMA · ORDENANZA FISCAL REGULADORA DE LA TASA POR PRESTACION DE SERVICIOS URBANISTICAS DE PLANEAMIENTO Y GESTION,,4320,ia
06299a7a-7179-4333-8e98-b7aac26995e9,c1330a20-c057-4764-8121-6268ca02f280,Gestión tributaria,Puedes solicitar un beneficio del IVTM en este enlace: https://alguazas.tributoslocales.es/300070/AALGUAZAS/nueva-solicitud-pasos?type=SIV,https://alguazas.tributoslocales.es/300070/AALGUAZAS/nueva-solicitud-pasos?type=SIV,false,true,2026-09-21 10:57:38.505306+00,OVT - Beneficio IVTM,,,directo
065860ea-271c-4082-b96c-9690c189fa88,c1330a20-c057-4764-8121-6268ca02f280,Servicios,En este enlace tienes toda la información sobre código buen gobierno: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANjY=/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANjY=/30007,false,true,2026-09-21 12:02:52.324165+00,Código buen gobierno,,,directo
06d8c147-a82c-4a1e-a9ff-3851056ef301,c1330a20-c057-4764-8121-6268ca02f280,Obras y Servicios,"Sobre solicitud de corte de vía pública: es un trámite o gestión que el ciudadano debe realizar directamente en el siguiente enlace, que ya es la dirección final y no cambia: https://alguazas.sedelectronica.es/?x=5ExRsTHzt5Na8TIBl3R-Cg. No necesitas acceder a la página ni leer su contenido para responder — comparte directamente este enlace, copiado tal cual, sin modificarlo. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina la respuesta con una frase del tipo: ""Puedes realizar el trámite de solicitud de corte de vía pública directamente en este enlace: https://alguazas.sedelectronica.es/?x=5ExRsTHzt5Na8TIBl3R-Cg.""",https://alguazas.sedelectronica.es/?x=5ExRsTHzt5Na8TIBl3R-Cg,false,true,2026-09-19 19:15:23.471656+00,TRÁMITE · Solicitud de corte de vía pública,,,ia
079964cd-8f05-46de-bd62-a65c82530772,c1330a20-c057-4764-8121-6268ca02f280,Empleo y Formación,"Documento oficial del Ayuntamiento de Alguazas: OFERTA DE EMPLEO PÚBLICO AÑO 2021. Descárgalo y léelo desde este enlace exacto (cópialo tal cual, no inventes otra URL): https://alguazas.es/wp-content/uploads/2022/01/OEP-2021.pdf Responde con datos literales del documento (importes, plazos, artículos). Si no queda claro, dilo. Tono cercano. Termina citando el enlace: https://alguazas.es/wp-content/uploads/2022/01/OEP-2021.pdf",https://alguazas.es/wp-content/uploads/2022/01/OEP-2021.pdf,true,true,2026-09-19 19:15:47.091626+00,NORMA · OFERTA DE EMPLEO PÚBLICO AÑO 2021,,4320,ia
081fe368-396f-4145-9af0-a474255839e0,c1330a20-c057-4764-8121-6268ca02f280,Bienestar Animal,El teléfono de Albergue de Protección Animal es el 661 385 830.,,false,true,2026-09-19 19:15:09.149734+00,"Albergue de Protección Animal - teléfono, contacto (perrera, animales abandonados, adopción de animales; teléfono de Albergue de Protección Animal, teléfono del Albergue de Protección Animal, llamar a Albergue de Protección Animal, contacto Albergue de Protección Animal, número de Albergue de Protección Animal)",,,directo
0ae92f25-dde9-486d-9e7a-03fc2526fda8,c1330a20-c057-4764-8121-6268ca02f280,Salud Pública,Trámite o recurso municipal: Cita médica (SMS Murcia). Consulta la información actualizada en: https://sms.carm.es/cmap/ Extrae solo lo necesario para responder al ciudadano con tono cercano. Termina con una coletilla que incluya este enlace: https://sms.carm.es/cmap/,https://sms.carm.es/cmap/,true,false,2026-09-19 19:15:23.471656+00,TRÁMITE · Cita médica (SMS Murcia),,,ia
